plate,customer_meaning,cluster_label,cluster_meaning
MTY WHTY,"IT’S A WHITE 2015 MINI COOPER S ""MIGHTY WHITEY""",2,Vehicle and Car Descriptions and Attributes
4RMCALI,IM FROM CA,1,Business and University Identities
DAGOOZE,THE GOOSE- A NICKNAME FOR MOTO GUZZI M/C,3,Diverse Personal Expressions
BRZN BLU,BREEZING BLUE CA COASTAL PROTECTION,7,Colors and Descriptive Traits
WAPSTER,VEHICLE OWNERS INITIALS,1,Business and University Identities
HOV+AMO,AMO..AMMO?,1,Business and University Identities
BSTD G8,VEHICLE MODEL AND ENGINE TYPE,2,Vehicle and Car Descriptions and Attributes
GPOPS73,GRANDPAS 73,0,Personal and Family names
STLR GNG,STEELER GANG,1,Business and University Identities
2J2O9Y6,PERSONAL,3,Diverse Personal Expressions
G$JCK 3,G AS IN GANGSTER,5,Gang Color and Controversial Affiliations
BLU TII,BLUE,7,Colors and Descriptive Traits
BLUTONC,THE NAME I USE FOR ONLINE GAMING,3,Diverse Personal Expressions
TRAN FAM,TRAN MEAN LASTNAME OF MY FMILY,0,Personal and Family names
BLUPLNT,BLUE PLANET,7,Colors and Descriptive Traits
CET8EAN,CAN NOT TRANSLATE,3,Diverse Personal Expressions
BLOWN 14,SHORT FOR SUPERCHARGED 2014 SILVERADO,2,Vehicle and Car Descriptions and Attributes
RED BAR,CHIEF WARRANT OFFICER IN THE MARINE CORPS,1,Business and University Identities
MOFLO 8,MONICA FLORES AND MY FAVORITE NUMBER,4,Area code and Numbers
EZ CORE,TYPE OF MUSIC,3,Diverse Personal Expressions
B4PIM55,LOOKS LIKE BEFORE PMS,3,Diverse Personal Expressions
EVH 5150,5150 CRAZY,3,Diverse Personal Expressions
PDQMINI,???,3,Diverse Personal Expressions
66 MONO,MONO VIRUS OF THE MOUTH,3,Diverse Personal Expressions
69LCMNO,???,3,Diverse Personal Expressions
9DG3NEL,???,3,Diverse Personal Expressions
CRZY J,CRAZY,3,Diverse Personal Expressions
WUIDSAU,WILD BOAR,3,Diverse Personal Expressions
