index,valid,plate,customer_meaning,reviewer_comments,status,review_reason_code
2322,3,BUNKEY G,BUNKEY GIRL,OR BUNKY GANSTER,N,2
4771,3,BS RTIS,BUSINESS ARTIST,OR bullshit artist,N,3
6936,1,BROOD,BROOD AS IN FAMILY,LOOKS LIKE BROAD,Y,2
16913,1,DRGN SHT,DRAGGING SHIT,DRAGGIN SHIT,N,2
20282,0,MOTHA 2,MY NICK NAME IS MOTHA AND MY FIRST KIA SPORTAGE LICENSE PLATE HAS MOTHAZ AND SO MY NEW KIA-SPORTAGE WILL BE NUMBER TWO (2),"MOTHA=MUTHA=MOTHERFUCKER, SHE DOES HAVE THE PLATE MOTHAZ SINCE 2006",N,3
8664,0,JOHNNY G,JOHNNY GLENDALE,GANGSTER,N,2
273,2,GUN ACE,MY CHILDRENS NAMES: GUNTHER AND ACE,GUN ACE(MASTER),N,2
15539,0,MTW13,MY INITIALS PLUS MY HOCKEY NUMBER,"13, GANG REFERENCE",N,2
13770,0,RN8O5,REGISTERED NURSE VENTURA COUNTY,AREA CODE,N,2
7980,0,OG53OI,NO MICRO,OG AND 530 AREA CODE,N,2
21313,3,DEDS3C5,REFERENCE TO A VIDEO GAME HACKER GROUP,DEAD SEC,Y,2
54,1,C4 MILES,SEE FOR MILES,SEE FOR MILESâ€¦ C4-BOMB,N,7
8293,0,88MA888,FAVORITE NUMBER AND INITIALS,88-HITLER,N,2
10845,0,66BDASC,1968 SINGLE CAB,66 BAD ASS,N,3
8920,2,MALIBLU,CAR IS A BLUE CHEVROLET MALIBU,MALIBU BLUE,Y,2
2836,1,#54 HATN,HI FIVE FOR HATING,HATING,N,2
9048,3,8B8B88B,STAR WARS REFERENCE. THE NEW CUTE BB8 DROID,MAYBE 88-HITLER?,N,7
14419,2,FUC FRD,INTIALS OF WHERE GREW UP,FUCK FORD(?),N,3
915,0,31ORIDE,LA AREA 310 RIDE MOTORCYLE PLATE,CA AREA CODE,N,2
23450,0,SLSS88,MY COMPANY,"88=HATE SYMBOL, NO 88 CAR ON ANI",N,2
13187,1,213 RAMZ,[AREA CODE] LOS ANGELES RAMS,213 AREA CODE,Y,2
5444,2,CHOCHES,CHILD HOOD NICK NAME GIVEN BY OLDEST SISTER,MEXICAN SLANG FOR CAR,N,2
15170,0,FAIRY ER,FARRIER - HORSESHOER,ER EMERGENCY FAIRY SLANG,N,2
7407,0,KMFFKM,NO MICRO,MF-MOTHER FUCKER. FK-FUCK. NOT INTIALS,Y,3
11282,2,DANKM3,I HAVE A GERMAN CAR AND DANK IS GERMAN FOR THANK YOU,DANK=COOL OR DRUG REFERENCE,N,D
12692,1,UCM CATZ,"University of California, Merced BOBCATS","customer is in Sacramento but UCM could be UC Merced whose mascot is a bobcat, pulled for cat=pussy (UCM CATS isnt out there yet)",Y,1
916,0,BNR ORIG,BAHALA NA RYDERS ORIGINAL,BNR LOOKS LIKE A MOTORCYCLE STREET GANG,N,4
5751,0,TCTA69,NOT ON QUICKWEB YET,no 1969 on ani,N,1
837,2,4FSAKES,"FOR FAMILY SAKES, FAMILY IS EVERYTHING",FOR FUCKS SAKE,N,3
3261,2,POOP KNG,POOP BAGS MANUFACTURER,POOP KING,N,3
16021,2,THUGGER,YOUNG THUG IS MY FAVORITE PERSON,THUGGER,N,2
21494,2,ROOOOLL,"SUSHI ROLL, FOOD THAT I LOVE AND IS REPRESENTATIVE OF THE STATES GASTRONOMY, AND ALSO REFERS TO A ROAD TRIP THROUGH THE STATE",ROLL,Y,7D
14029,0,KEKLASS,KESHIAS ECLASS MERCEDES,"ASS? Customer requesting is Nekeshia for Adrian, who has a Mercedes.",N,1
9889,2,H8BOGEY,GOLF RELATED PHRASE,HATE BOGEY(GOLF),N,2
17958,1,831LIFE,LIVING LIFE IN SALINAS AREA CODE,831=SALINAS AREA CODE,N,2
3990,2,DRGN ASZ,NO MICRO,DRAGGIN ASS,N,3
28,0,POT POM,NO MICRO AVAILABLE,POT,N,2
5381,0,KINGZ 14,LA KINGS FAN/DOESNâ€™T HAVE A 2014 VEHICLE,HATE SYMBOL,Y,8
11708,2,FYOU95 1,FAMILY INITIALS,FUCK YOU,N,3
18415,0,GLUNA,G MEANS TO ME MY SONS FIRST LETTER OF HIS NAME AND LUNA MEANS MOON IN SPANISH,"G, GANG REFERENCE",N,2
9923,1,4SHOGUN,FOR SURE GUN,GUN,N,2
