index,plate,review_reason_code,customer_meaning,reviewer_comments,status,valid,meaning
1146,CALIPMW,1,CALIFORNIA POWER MOTIVATION,CALIFORNIA PUSSY MONEY WEED,N,2,CALIFORNIA PUSSY MONEY WEED
7385,G UNIT$,2,grant unit love,G gangster,N,2,G gangster
15502,GUNGOSE,2,GUN GOOSE,"GUN, WEAPON REFERENCE",N,3,"GUN GOOSE GUN, WEAPON REFERENCE"
14689,TOBYCAT,1,CAT,"CAT=PUSSY, ANI SHOWS NISSAN",Y,1,CAT
23182,OG ONE1,2,ORIGINAL ONE,"OG, GANG REFERENCE",N,3,"ORIGINAL ONE OG, GANG REFERENCE"
630,ZO HATED,2,ZO SHORT FOR Z06 HATED MEANING NICE  CORVETTE OUT HERE,hate,N,3,ZO SHORT FOR Z06 HATED MEANING NICE  CORVETTE OUT HERE hate
9748,DOP RIDE,7,DOPE RIDE,DOPE-DRUGS,N,3,DOPE RIDE DOPE-DRUGS
9704,AMZ BLLZ,1,AMAZING BELLS- MUSICAL REFERENCE,AMAZE BALLS,N,2,AMAZE BALLS
16839,GUNNY T,2,GUNNERY SERGEANT TREVINO,GUN,N,2,GUN
3515,BIGRNUT,1,NO MICRO,EJACULATION,N,2,EJACULATION
18343,PIGPEN5,5,OFF ROADING PIGPEN MUD. #5 IS THE NUMBER  IN THE FAMILY,"PIG, A DEROGATORY WORD FOR A POLICE OFFICER",N,1,OFF ROADING PIGPEN MUD. #5 IS THE NUMBER  IN THE FAMILY
9255,HATE,7,NO MICRO,HATE,N,2,HATE
18197,B 2SWEET,3,BILLIE 2 SWEET,STAND ALONE B,N,1,BILLIE 2 SWEET
227,BDAZTKR,3,ONE GREAT TRUCK DRIVER,BADASS TRUCKER,N,2,BADASS TRUCKER
22145,5OHVNOM,5,VENOM,LAW ENFORCEMENT REFERENCE Cant see ANI,N,3,VENOM LAW ENFORCEMENT REFERENCE Cant see ANI
7035,REDBULL,2,COLOR OF A BULL,RED BULL,Y,3,COLOR OF A BULL RED BULL
18004,TNTMECH,2,T AND T MECHANICAL,TNT,N,3,T AND T MECHANICAL TNT
11401,GBYEH8R,2,FAST CAR,GOOD BYE HATER,N,3,FAST CAR GOOD BYE HATER
10326,1 GUNNUT,1,ONE GUN NUT,GUN NUT,N,3,ONE GUN NUT GUN NUT
12173,E GO 88,2,"E IS FOR EDWARD, MY FIRST NAME",88 = HATE NUMBER,,3,"E IS FOR EDWARD, MY FIRST NAME 88 = HATE NUMBER"
