index,plate,review_reason_code,customer_meaning,reviewer_comments,status,review_reason_code,meaning
19887,LRA2788,2,LUCKY NUMBERS,88 = HATE NUMBER,N,1,LUCKY NUMBERS
7708,WTF Z33,3,MY CAR IS Z33 AND THIS IS MY DREAM CAR. MY MOTHER BOUGHT ME THIS DREAM CAR. WTF HIS HER CHINA NAME WONG TIN FANG,WTF-WHAT THE FUCK,N,1,MY CAR IS Z33 AND THIS IS MY DREAM CAR. MY MOTHER BOUGHT ME THIS DREAM CAR. WTF HIS HER CHINA NAME WONG TIN FANG
6525,SOMOIST,1,I AM A PROFESSIONAL CAKE DECORATOR,SO MOIST,N,1,I AM A PROFESSIONAL CAKE DECORATOR  AND THE CAKE IS DELICIOUS AND MOIST
19039,FUKI5I5,,I AM AGAINST TERRORISM,FUCK ISIS,N,3,I AM AGAINST TERRORISM. FUCK ISIS
8378,GOOOOON,2,PLATES ARE GOING ON A 71 DATSUN WAGON. IN THE CAR SCENE THE DATSUN WAGONS ARE REFFERED TO AS GOONS,GOON ANOTHER WORD FOR THUG OR GANGSTER,N,1,PLATES ARE GOING ON A 71 DATSUN WAGON. IN THE CAR SCENE THE DATSUN WAGONS ARE REFFERED TO AS GOONS
17795,PSYCHPS,1,AM A PSYCHOLOGIST IN PALM SPRINGS,LOOS LIKE A SEXUAL REFERENCE OR PSYCH PS,N,1,AM A PSYCHOLOGIST IN PALM SPRINGS
9272,LES 14,7,LESTER 2014,14-HITLER,N,1,LESTER 2014
13128,O1TIME,2,YOU ONLY HAVE TO LOOK AT IT ONE TIME!,LOOK A LIKE,N,1,YOU ONLY HAVE TO LOOK AT IT ONE TIME!
5897,PORKYYY,2,nickname,insulting,N,1,nickname
4859,BONG 14,2,DEPECHE MODE,WEED AND HITLER. DEPECHE MODE SINGLE,N,1,DEPECHE MODE WHICH IS MUSIC BAND NAME
19520,H8 RICE,2,I HAVE A GLUTEN ALLERGY AND I FIND IT FUNNY.,HATE,N,1,I HAVE A GLUTEN ALLERGY AND I DONT LIKE RICE
15014,NOHA SAD,,NO HATE,CAN NOT TRANSLATE,N,0,
5266,VACA 13,2,OUR FAMILYS LAST NAME AND THE DAY I WAS BORN.,13 GANG REFERENCE (nothing on ANI),N,1,OUR FAMILYS LAST NAME AND THE DAY I WAS BORN.
738,DAMMITT,3,MY KIDS INTIALS,DAMN IT,N,2,DAMN IT
10113,BSTD G8,7,VEHICLE MODEL AND ENGINE TYPE,BASTARD… BEASTED…,Y,2,BASTARD… BEASTED…
4745,7NT X XX,1,MICRO NOT AVAILABLE,XXX SEXUAL TERM,N,0,
23185,PACKER G,2,GREEN BAY PACKER FAN AND THE G STANDS FOR GARCOUSHA OUR LAST NAME,"G, GANG REFERENCE",Y,1,GREEN BAY PACKER FAN AND THE G STANDS FOR GARCOUSHA OUR LAST NAME
2066,BTF OFF,3,BEST TO HAVE FRIDAYS OFF,BACK THE FUCK OFF,N,2,BACK THE FUCK OFF
7267,GOOCH,1,LAST NAME,PRIVATE AREA,N,3,LAST NAME AND PRIVATE AREA
7919,GANGFWD,7,GANG FORWARD IS THE MOTO FOR THE SURNAME STERLING,GANG? WHAT THEY SAY IS TRUE,N,2,GANG? WHAT THEY SAY IS TRUE
8295,S$M 18,2,LUCKY LOVE NUMBER,18-HITLER,N,1,LUCKY LOVE NUMBER
8461,MMA DUBZ,3,mama washington aka mama dubz,"customer is Katrina Coles, not Washington. Dubs can have a drug connotation",N,2,"customer is Katrina Coles, not Washington. Dubs can have a drug connotation"
3191,13BLKRT,2,2013 BLACK CHALLENGER RT,13-GANG,Y,1,2013 BLACK CHALLENGER RT
19016,BJS HEMI,,IT MEANS THE HEMI 5.7 IS MINE.,BJS BLOW JOB CUSTOMER INITIALS NOT BJ,Y,2,BJS BLOW JOB CUSTOMER INITIALS NOT BJ
19733,XTRRMN8,2,EXTERMINATE - FROM DOCTOR WHO,"EXTERMINATE, COULD BE TAKEN AS HOSTILE",N,3,"EXTERMINATE - FROM DOCTOR WHO EXTERMINATE, COULD BE TAKEN AS HOSTILE"
17475,ITSHUGE,1,THE PLATE IS FOR A NISSAN ARMADA AND ITS  VERY LARGE.,"REFERENCE TO A PENIS, SEXUAL REFERENCE",N,3,"THE PLATE IS FOR A NISSAN ARMADA AND ITS  VERY LARGE. REFERENCE TO A PENIS, SEXUAL REFERENCE"
22354,SNO BOMR,2,SNOW BOMBER,BOMBER,N,1,SNOW BOMBER
3088,O11235B,6,GOLDEN RATIO,LOOKS LIKE AN OLD TIN NUMBER,N,3,Fibonacci sequence which is a mathematic term
9430,1DRLUST,1,WANDERLUST- LIKE TO TRAVEL,WONDER LUST,Y,2,WONDER LUST
14706,8O H O8,2,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,88=HATE SYMBOL,Y,1,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME
3015,14 CBYC,2,CABRILLO BEACH YACHT CLUB COMMODORE 2014,14-HITLER. CABRILLO BEACH YACHT CLUB,Y,1,CABRILLO BEACH YACHT CLUB COMMODORE 2014
12809,BRAD13,2,THIS IS MY NICK NAME AS MY FIRST NAME IS  BRIDGETTE AND MY LAST NAME IS RADABAUGH. I PICKED 13 BECAUSE IT IS MY BIRTHDAY AND MY FAVORITE NUMBER,"13, GANG REFERENCE",N,1,THIS IS MY NICK NAME AS MY FIRST NAME IS  BRIDGETTE AND MY LAST NAME IS RADABAUGH. I PICKED 13 BECAUSE IT IS MY BIRTHDAY AND MY FAVORITE NUMBER
22844,ZMBONEE,1,A ZAMBONIE IS A MACHINE USED TO GET ICE READY TO PLAY HOCKEY,BONE COULD BE CONSIDERED SEXUAL,Y,1,A ZAMBONIE IS A MACHINE USED TO GET ICE READY TO PLAY HOCKEY
7343,IH8TRFC,2,no quickweb,I hate traffic,Y,3,"I hate traffic,no quickweb"
14664,K18QV11,2,CHILDRENS NAME AND BIRTHDAY,18=HATE SYMBOL,N,1,CHILDRENS NAME AND BIRTHDAY
7824,SUC1A 1,3,NO MICRO,SUCIA1 IS MARKED UNACCEPTABLE,N,3,Bad words suck you all
15543,M17LOVE,2,MITCHELLE FAVORITE NUMBER LOVE,"M17 IS A GUN, WEAPON REFERENCE",N,1,MITCHELLE FAVORITE NUMBER LOVE
18596,PURE FN,,MY COMPANY NAME IS PURE FINANCIAL,PURE FUN OR PURE SEX,Y,1,MY COMPANY NAME IS PURE FINANCIAL
16404,SLYNPOW,2,SLAYIN POWDER SNOWBAORDING TERM FOR RIDING POWDER,SLAYING,N,1,SLAYIN POWDER SNOWBAORDING TERM FOR RIDING POWDER
10793,NACLBLS,7,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT,NACL IS SCIENTIFIC TERM FOR SALT… SALT BALLS?,N,1,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT
9126,BIGGBLU,7,VAN IS THE COLOR BLUE,BLUE-GANG,Y,1,VAN IS THE COLOR BLUE
4940,2OH9 GTO,2,PONTIAC GTO FROM THE 209 AREA CODE,209 AREA CODE,N,3,209 AREA CODE. PONTIAC GTO FROM THE 209 AREA CODE
16502,IJNIP,2,IN JESUS NAME I PRAY.,"NIP, OFFENSIVE",N,1,IN JESUS NAME I PRAY.
4982,OMGXWTF,3,OH MY GOD WHAT THE FREAK,WHAT THE FUCK,N,2,WHAT THE FUCK
8093,GTWBALZ,2,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,BALLS.. GOT BALLS?,N,1,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS
2298,EY VATO,7,HEY BUDDY,VATO GANG SLANG,N,1,HEY BUDDY in Spanish
21755,BLOWWWN,1,VEHICLE IS A HELLCAT WITH A SUPERCHARGED (OR BLOWN) ENGINE.,BLOWN SEXUAL REFERENCE OR DRUG REFEERNCE,N,1,VEHICLE IS A HELLCAT WITH A SUPERCHARGED (OR BLOWN) ENGINE.
20053,BLUPHX,2,BLUE PHOENIX TO RISE FROM THE ASHES,"BLUE, GANG REFERENCE",Y,1,BLUE PHOENIX TO RISE FROM THE ASHES
17950,WREATER,2 or 1,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD,WIDE RECEIVER EATER (AND THERE IS NO EAT IN COMPETE),N,1,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD
23080,2NDN8TR,7,SECOND NATURE- MY BUSINESS NAME,TERMINATOR,N,1,SECOND NATURE- MY BUSINESS NAME
12498,BLQXTC,,BLACK ECSTASY,ECSTASY IS A DRUG REFERENCE,N,2,ECSTASY IS A DRUG REFERENCE
9840,HELLC16,,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL,HELL,Y,1,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL
14360,PB1O 51O,2,PUNJA 510,510 = AREA CODE,N,1,PUNJA 510
16507,KING BRA,1,ITS A 2014 SHELBY COBRA AND IT IS KING.,PULLED FOR BRA,Y,1,ITS A 2014 SHELBY COBRA AND IT IS KING.
4478,BLKSKAT,1,COLOR AND MODEL OF VEHICLE,SCAT IS ANOTHER NAME FOR SHIT.. COULD BE SAYING BLACKS CAT OR BLACK SCAT,N,1,COLOR AND MODEL OF VEHICLE
3162,FK TRUMP,3,NOTHING,FUCK TRUMP,N,2,FUCK TRUMP
521,BLCK BST,2,BLACK BEAST FOR BLACK DODGE CHALLENGER,HAS A 2013 DODGE CP ON ANI,Y,3,BLACK BEAST FOR BLACK DODGE CHALLENGER HAS A 2013 DODGE CP ON ANI
15838,R8DER88,2,IMA RAIDER FAN AND I WAS BORN ON 1988,88 = HATE NUMBER,N,1,IMA RAIDER FAN AND I WAS BORN ON 1988
6831,DRV PINK,1,DRIVE PINK = SUPPORTING BREAST CANCER RESEARCH,PINK SEXUAL REFERENCE,N,1,DRIVE PINK = SUPPORTING BREAST CANCER RESEARCH
15914,SLM O916,2,INITIALS AND B DAY,916 AREA CODE,N,1,INITIALS AND B IRTHDAY 
13513,LAHOOD1,2,LAST NAME,LA HOOD? (LAST NAME IS LAHOOD),Y,0,
3823,GUNSTOR,2,I OWN TWO GUN STORES,GUN STORE,N,3,I OWN TWO GUN STORES GUN STORE
7252,911 JUMP,5,EMERGENCY JUMPSTART,911 EMERGENCY,N,1,EMERGENCY JUMPSTART
3099,TPOTKID,D,"TEA POT KID, MY DADS NICKNAME AND WE INHERITED HIS CAR",POT MARY JANE MARIJUANA,N,1,"TEA POT KID, MY DADS NICKNAME AND WE INHERITED HIS CAR"
3937,OGSICK1,2,PERSONAL MEANING,OG,N,0,
8368,FLAT SEX,1,REFERS TO THE SPECIAL FLAT 6 NORMALLY ASPIRATED ENGINE WHICH IS IN THE CAR,SEX….,N,1,REFERS TO THE SPECIAL FLAT 6 NORMALLY ASPIRATED ENGINE WHICH IS IN THE CAR
