index,plate,review_reason_code,customer_meaning,reviewer_comments,status
22979,TYJUICY,1,THANK YOU TO MY DECEASED HUSBAND,PULLED FOR JUICY,N
8415,DUB JUKE,3,my nickname is dub. I own a nissan juke car.,dub can have a drug connotation,N
14100,PMD 14,2,MY SONS INITIALS AND HIS ATHLETIC NUMBER,14 = GANG NUMBER,N
2781,415M3,2,CALL CODE FOR WORK,415 AREA CODE,N
14733,DR DABS,7D,NICKNAME,"DABS=BUTANE HASH OIL, DRUG CONNOTATION",N
17064,U CUTEAF,3,"IT MEANS YOURE VERY CUTE AND THOUGHT MAYBE IF PEOPLE READ THIS, ID MAKE THEM SMILE AND MAKE THEIR DAY A LITTLE BETTER.",YOU CUTE AS FUCK,N
20206,31O HB,2,AREA CODE HERMOSA BEACH,310 = AREA CODE,N
3988,DMNBLUE,3,NO MICRO,DAMN BLUE,N
3813,SL9 8PW,1,NO MEANING ON QUICKWEB YET,"has 2 BMWs, I don’t find a model number. Pulled for 8=ate and PW=pussy whipped",Y
20669,DOUGHHO,1,STUFFED BAKERY DOUGH MAKER,HOE,N
4802,SEXXER,1,NICKNAME FOR CAR (6-SERIES/ SIXER/ SEXXER),SEXER,N
19734,YOWMOMA,2,YO MOMMA,"YO MOMA, COULD BE TAKEN AS HOSTILE",N
19834,DRTYHRS,1,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK,COULD HAVE SEXUAL CONNOTATION,N
6896,BADDA6O,3,SLANG FOR NICE ALTERED 1960,LOOKS LIKE BAD ASS 60,N
20144,BUD1956,7D,NOT ON QUICKWEB,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",N
19231,MYOPUS1,1,MY CAR IS LIKE A FINE WINE.,"PUS CAN BE SHORT FOR PUSSY, SEXUAL",N
3506,818 CODE,2,NO MICRO,CA AREA CODE,N
9641,FTW DYNA,3,NO MICRO,FUCK THE WORLD,N
17032,NEGRA 50,2,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0",NEGRA,N
