plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
EGGPUTT,SLANG FOR FAT GUY PER URBAN DICTIONARY,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FJ 666,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
HVNNHEL,ALBUM TITLE,Diverse Personal Expressions,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MMA515O,MIXED MARTIAL ARTS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
173D82D,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
GAMMI$G,GRANDMA GOOLSBY,Personal and Family names,Personal and Family names,Personal and Family names,Colors and Descriptive Traits,Personal and Family names
G$DSKK,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
NO GAS X,ALL ELECTRIC CAR MODEL X,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TTNISMO,TWIN TURBO NISMO,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
REDLYNE,RED GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
LDYNBLU,LADY IN BLUE. GANG COLORS?,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
FUNKLFE,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
OUTHOUS,OUT HOUSE - FOR RV,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SIX5O,650 BMW,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SIX6XI,666 MARK OF THE BEAST THE DEVIL EVIL,Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers
1DOPE S5,ITS A COOL AUDI S5,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
5HUNWYS,500 WAYS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
7O7 PLUS,707 HORSEPOWER PLUS A LITTLE MORE,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
GAYMUR,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
$R TOES,LOVE HER TOES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
PULLN 14,14 CUSTOMER DOES HAVE A 2014 GMC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
REDROCK,THE COLOR OF THE CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
2 BLUE IZ,TO BLUE EYES,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
LIL515O,JUST A LITTLE WILD AND FUN PERSON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MY7OCUT,MY 1970 CUTLASS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
SHUFTSH,SHOE FETISH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
STOGIE,JUST HAD A CIGAR.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AHHBLUE,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,Colors and Descriptive Traits,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
BYTE ME2,"BYTE ME TWO, MATCHING SPOUSE'S PLATES",Vehicle and Car Descriptions and Attributes,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
