index,plate,review_reason_code,customer_meaning,reviewer_comments,status
23088,911N2O9,8,I WORK AS A SUPERVISOR AT A 911 CENTER IN THE 209 AREA CODE,AREA CODE,N
9383,FOWL LVN,2,WATER FOWL LIVING. DUCK AND GOOSE HUNTING,FOUL LIVING,Y
22950,JC XXX,1,NO MEANING ON REG 17,XXX,N
12272,3547OM1,6,ORIGINAL PLATE NUMBERS,LOOKS LIKE A COMMERCIAL PLATE,N
7442,WRAP760,7,I SELL SKINNY WRAPS AND LIVE IN THE COACHELLA VALLEY ALA 760.,760 INDIO AREA CODE,N
8743,STRUMPT,1,NAME OF CAR,STRUMPET IS A PROSTITUTE,N
4232,HEMI8RS,,HEMI IS THE ENGINE 8 IS FOR ATE R IS FOR RAY AND S IS FOR SARAH,HEMI HATERS,N
9376,CYA HATR,2,JUST A PLAY ON WORDS OF SEE YOU LATER,HATER,N
16554,TYPE FYL,3,A JOKE ABOUT MY CAR WHICH IS A TYPE S. TYPE FOR YOUR LOVE,FYL = FUCK YOUR LIFE,N
21417,WATDFCK,3,WAITED FOR CK (CASSIE KRAMER) FIANCE,"WHAT THE FUCK, PROFANITY",N
19114,VIRK O13,,MY LAST NAME IS VIRK SO ITS VIRK AND 13 IS MY LUCKY NUMBER.,13 GANG REFERENCE,N
2116,WC96OG1,2,WINNERS CIRCLE 96 ORIGINAL ONE.,OG=ORIGINAL GANGSTER,N
20507,EXTRMSS,1,EXTREME SUPER SPORT,"COULD BE EXTREME ASS, SEXUAL REFERENCE (MULTIPLE CHEVYS ON ANI)",Y
2268,14VADER,2,ONE FOR VADER (STAR WARS),14-HITLER,N
15462,CHAPO15,7D,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO","EL CHAPO IS A DRUG LORD, DRUG REFERENCE",N
9847,SEXY 7XL,,1967 FORD XL,SEXY 7 EXTRA LARGE,Y
15124,IMHARD1,1,ISMAEL MENDOZA HARD #1,COULD BE IM TOUGH BUT IT COULD ALSO BE TAKEN AS SEXUAL,N
12111,TYPEHI,7D,"IN LETTERPRESS PRINTING, ALL TYPE IS 0.918 IN.: WHICH IS KNOWN AS TYPE HIGH. IVE SHORTENED IT TO FIT","HI, DRUG REFERENCE",N
11146,BJSDLIT,1,MEANING NOT LISTED ON REG 17,"BJ=BLOW JOB, SEXUAL CONNOTATION",N
8573,KIWI 69,1,I HAVE AN LAND CRUSER MODEL AND GO ON THE MOUNTAIN ROADS OFTEN. THIS TO ME MEANS THAT MY TRUCK IS AWSOME.,69 SEXUAL REFERENCE,N
2822,PNTY TKR,1,PLENTY TANKER,PANTY TAKER,N
10330,MARJAN,2,MARJAN IS MY NAME! :)PLEASE CENTER THE LETTERS. THANKS!),LOOKS LIKE MARY JANE,Y
2960,NO H8N,2,NO HATING,NO HATING,N
8093,GTWBALZ,2,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,BALLS.. GOT BALLS?,N
5850,YOGA 88,2,DO YOGA BE HAPPY AND HEALTHY,88 HITLER REFERENCE,N
1524,DMOB1AC,7,DMOB IS JUST A NICKNAME. THE LAST 3 CHARACTERS HAVE NO SIGNIFIANCE THANKS!,MOB-MEMBERS OF BLOOD,N
1013,DASH71O,2,NICKNAME,710 GOOGLE SAYS IS A FEDERAL AREA CODE??,N
10959,FCKMALL,3,FC KAISERSLAUTERN(FOOTBALL CLUB). MGR ALL WORLDWIDE MERCHANDISE,FUCK EM ALL,N
7027,BKK EDOK,1,FLOWER IN DIFFERENT LANGUAGE.,BANGKOK GAY SAUNA,N
19985,SMEXY14,2,SMART+SEXY+DAY OF BIRTH,"14, GANG REFERENCE",N
12914,TACOUBR,1,TOYOTA TACOMA (TACO) IS A GREAT TRUCK,"TACO, SEXUAL REFERENCE",N
14787,JMESZ88,2,JAMES ZHANG LUCKY LUCKY.,"88, GANG REFERENCE",N
22540,PAJ1313,2,NICKNAME,13 = GANG NUMBER,N
12621,LBCRR88,2,"LB: LONG BEACH, RR: SONS NAME, 88: SONS RACING NUMBER",88 = HATE NUMBER,N
8147,ADART69,1,A - MY LAST NAME ARCEO  DART - MODEL  1969 - YEAR,69 SEXUAL REFERENCE,N
22588,ELVIE B,3,MY BEAGLES NAME,THE B COULD STAND FOR BITCH,N
22602,DONKEY 7,1,NICKNAME,DONKEY CAN BE CONSIDERED A SEXUAL TERM DESCRIBING A WOMAN WITH A  BIG BUTT,N
13677,1 BLK GUY,2,IT MEANS 1 BULKY (MUSCULAR) GUY,ONE BLACK GUY,Y
10216,69LCMNO,1,NO MICRO AVAILABLE,???,Y
292,MEVALE8,3?,"ME IS BASICALLY ME, VALE IS SHORT FOR VALEDICTION WHICH MEANS TO DEPART-FAREWELL. THE 8 REPRESENTS INFINITY",urban dictionary says me vale means I don’t give a fuck. Google translates it as I do not care…,N
23116,BOTIE66,1,1966 CHEVY TRUCK,"BOTIE IS SIMILAR TO BOOTY, SEXUAL REFERENCE",Y
22205,BCHNCJ7,7D,"WE LIVE NEAR THE BEACH, ITS A CJ7 MODEL AND THATS WHERE WELL BE TAKING IT, SO BEACH AND CJ7 ABBREVIATED.",BITCHIN,N
9681,ZERO FS,3,no quickweb,ZERO FUCKS,N
15886,BTY SMKR,1,M C NICKNAME,BOOTY SMACKER,N
1562,PSSNHRT,2,PASSION HEART,PISSIN HEART? PASSION HEART?,N
16409,TRXIRXN,2,"NICKNAME GIVEN BY MY GRANDFATHER, TRIXIEROXANNE",TRICKS,Y
21326,FCSRACE,3,FCS RACE IS MY COMPANY,"COULD BE FUCKS RACE, PROFANITY",Y
20572,BUGOFFF,3,VW BEETLE,SIMILAR TO FUCK OFF,N
12945,13LAMB,2,OUR ANNIVERSARY AND FIRST PART OF LAST NAME,"13, GANG REFERENCE",N
23443,666XDVL,2,MY CAR IS A 1966 MUSTANG,666 and devil?,Y
19846,JABRONY,2,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD,GIBRONI = DUMBASS/MORON IN ITALIAN,N
983,18E4P,7,ITS A MILITARY MOS,18-HITLER RELATED,N
