plate,meaning,classification_agglo,cluster_meaning
CALIPMW,CALIFORNIA PUSSY MONEY WEED,2,"Gang, Drugs, and Street Culture"
G UNIT$,G gangster,2,"Gang, Drugs, and Street Culture"
GUNGOSE,"GUN GOOSE GUN, WEAPON REFERENCE",0,Vehicle Descriptions and Colors
TOBYCAT,CAT,0,Vehicle Descriptions and Colors
OG ONE1,"ORIGINAL ONE OG, GANG REFERENCE",2,"Gang, Drugs, and Street Culture"
ZO HATED,ZO SHORT FOR Z06 HATED MEANING NICE  CORVETTE OUT HERE hate,2,"Gang, Drugs, and Street Culture"
DOP RIDE,DOPE RIDE DOPE-DRUGS,2,"Gang, Drugs, and Street Culture"
AMZ BLLZ,AMAZE BALLS,5,Sexual References
GUNNY T,GUN,0,Vehicle Descriptions and Colors
BIGRNUT,EJACULATION,5,Sexual References
PIGPEN5,OFF ROADING PIGPEN MUD. #5 IS THE NUMBER  IN THE FAMILY,0,Vehicle Descriptions and Colors
HATE,HATE,3,Explicit and Vulgar Language
B 2SWEET,BILLIE 2 SWEET,0,Vehicle Descriptions and Colors
BDAZTKR,BADASS TRUCKER,0,Vehicle Descriptions and Colors
5OHVNOM,VENOM LAW ENFORCEMENT REFERENCE Cant see ANI,6,Personal Names and Sentiments
REDBULL,COLOR OF A BULL RED BULL,1,Edgy Humor and Random Slang
TNTMECH,T AND T MECHANICAL TNT,0,Vehicle Descriptions and Colors
GBYEH8R,FAST CAR GOOD BYE HATER,1,Edgy Humor and Random Slang
1 GUNNUT,ONE GUN NUT GUN NUT,0,Vehicle Descriptions and Colors
E GO 88,"E IS FOR EDWARD, MY FIRST NAME 88 = HATE NUMBER",6,Personal Names and Sentiments
BLK SNKE,BLACK COBRA SINCE IM PUTTING IT ON A FORD MUSTANG COBRA,1,Edgy Humor and Random Slang
L$ PINK,LOVE PINK,0,Vehicle Descriptions and Colors
FTP,FUCK THE POLICE,0,Vehicle Descriptions and Colors
JGER BMB,JAGER BOMB,0,Vehicle Descriptions and Colors
LKMYBLZ,LICK MY BALLS,5,Sexual References
OG TIME,OG TIME OG ORIGINAL GANGSTER,2,"Gang, Drugs, and Street Culture"
KSS MAAS,KISS MY ASS,5,Sexual References
QN PUMA,QUEEN PUMA,0,Vehicle Descriptions and Colors
69BRO,"69, SEXUAL REFERENCE",5,Sexual References
FK CANZR,FUCK CANCER,3,Explicit and Vulgar Language
HRS3 SHT,HORSE SHIT,0,Vehicle Descriptions and Colors
DKYND69,SEXUAL 69,5,Sexual References
SPHYNX5/,SPHYNX IS CAT BREED #5 FAV NUMBER,0,Vehicle Descriptions and Colors
415 BORN,BORN IN SAN FRANCISCO 415 SAN FRANCISCO AREA CODE,4,Regional Pride and Area Codes
69ELDO,1969 CADILLAC ELDORADO,1,Edgy Humor and Random Slang
K TRAXHO,TRACKS HOE,0,Vehicle Descriptions and Colors
FCKFRND,FUCK FRIEND,3,Explicit and Vulgar Language
AUW13 88,13 N 88- GANG N HITLER RELATED,0,Vehicle Descriptions and Colors
CANEFAN,IM A UNIVERSITY OF MIAMI HURRICANE FAN. RAISED IN MIAMI,0,Vehicle Descriptions and Colors
RIPPPER,"LIKE RIPPING IT UP, LIKE GOING FAST.",0,Vehicle Descriptions and Colors
A BMF GT,A BAD MOTHER FUCKER GT,0,Vehicle Descriptions and Colors
TMSNSHT,TOO MUCH SWAG N SHIT?,0,Vehicle Descriptions and Colors
SVR BLET,VEHICLE IS SILVER AND IS SHAPED LIKE A BULLET SILVER BULLET,0,Vehicle Descriptions and Colors
MLHH818,MOTHERS MEMORIAL 818 AREA CODE,4,Regional Pride and Area Codes
APXSLYR,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.,0,Vehicle Descriptions and Colors
DOPEZ33,THE CAR IS A COOL Z 33 ( NISSAN 350Z ) PULLED FOR DOPE (MEANINGING DRUGS) ALTHOUGH THEY MEAN IT AS COOL,2,"Gang, Drugs, and Street Culture"
FCUK BOI,FUCK BOY,3,Explicit and Vulgar Language
G&GUNNA,GUN,0,Vehicle Descriptions and Colors
PENIS69,PENIS 69,5,Sexual References
AMNUTS6,"I AM NUTS, SLANG FOR CRAZY",0,Vehicle Descriptions and Colors
SX/BANGR,"SIX BANGER, SEX BANGER, BANGER CAN BE A TERM FOR A GUN, ALSO CAN BE SEXUAL",5,Sexual References
EL GATOG,NICK NAME G AS IN GANGSTER,2,"Gang, Drugs, and Street Culture"
515OFAN,CRAZY FAN,0,Vehicle Descriptions and Colors
RIOTBAY,I WORK AT RIOT GAMES (BASED OUT OF LA) IN  THE BAY AREA OFFICE (LOS ALTOS).,0,Vehicle Descriptions and Colors
TILL/DIE,I LOVE FOOTBALL UNTIL I DIE,0,Vehicle Descriptions and Colors
GORRAM,"MADE UP WORD, REFERENCE TO FIREFLY SCI-FI TV SERIES SLANG FOR A LOT OF THINGS GOD DAMN FROM A TV SHOW",2,"Gang, Drugs, and Street Culture"
GARY8IT,MY NAME AND I ATE IT. I LIKE TO EAT,0,Vehicle Descriptions and Colors
MOMS BOX,box=vagina. She has a 2006 Toyota BTM=UT,1,Edgy Humor and Random Slang
G1971,LAST NAME INITIAL AND MY BIRTH YEAR,6,Personal Names and Sentiments
DUBTREY,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD,0,Vehicle Descriptions and Colors
FUGAA C,"NOT ITALIAN, FUGAZI=FUCKED UP, GOT AMBUSHED , ZIPPED IN (A BODY BAG) VIETNAM WAR SLANG (FUGAZI IS MARKED UNACCEPTABLE)",2,"Gang, Drugs, and Street Culture"
JMAC5O,MY HUSBANDS NICK NAME AND HIS AGE,6,Personal Names and Sentiments
BRACAM,BRA CAMERA?,0,Vehicle Descriptions and Colors
PWDRHWY,"POWDER HIGHWAY, SOUNDS LIKE POWDER AS COCAINE NOSE",2,"Gang, Drugs, and Street Culture"
ASKYB,B COULD STAND FOR BITCH IN THIS CASE. COULD BE ASK WHY BITCH,0,Vehicle Descriptions and Colors
DUSTY D,DUSTY DICK,5,Sexual References
G A Y 1,"REFERENCE TO A PERSON WHO IS HOMOSEXUAL, SOME MAY FIND OFFENSIVE OR IT COULD MAKE THE PERSON A TARGET FOR HATRED",0,Vehicle Descriptions and Colors
BUULITT,BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD BULLET CAR,1,Edgy Humor and Random Slang
OZLIVI,KIDS NAMES,6,Personal Names and Sentiments
YLD ASS,WILD ASS/DONKEY /ZEBRA..ITS FOR MY BRONCO WITH ZEBRA STRIPES :),1,Edgy Humor and Random Slang
MGNUM44,MY NICKNAME IN COLLEGE ON FOOTBALL TEAM,6,Personal Names and Sentiments
IMLAYJR,I AM LARRY ALAN YOUNG JR.,0,Vehicle Descriptions and Colors
D BABIES,DA BABIES,5,Sexual References
BLNT 4C,"MY LAST NAME, BLUNT",6,Personal Names and Sentiments
HFA BOX,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER,1,Edgy Humor and Random Slang
SHANGO1,NICKNAME FROM HIGHSCHOOL,6,Personal Names and Sentiments
LUBRUP,"LOOKS LIKE LUBE HER UP, SEXUAL",5,Sexual References
ETMYTCO,EAT MY TACO. SEXUAL,0,Vehicle Descriptions and Colors
URSRVD,YOU ARE SERVED,5,Sexual References
PIETRUK,PIE AS OF THE CAKE PIE AND TRUCK BECAUSE THIS IS GOING ON A TRUCK THAT DELIVERS PIE,0,Vehicle Descriptions and Colors
TIKITNT,TNT-BOMB?,0,Vehicle Descriptions and Colors
NOTCOPS,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS ITS NOT THE POLICE,0,Vehicle Descriptions and Colors
RD&NECK,RED NECK,1,Edgy Humor and Random Slang
MIKE661,NAME AND MONTH YEAR BORN,6,Personal Names and Sentiments
LAHOOD4,LAST NAME,6,Personal Names and Sentiments
31OHWKI,LOS ANGELES IOWA HAWKEYES,0,Vehicle Descriptions and Colors
CAMA55,"no 1955 car, not his birth year. ASS? Last name is Camarena.",1,Edgy Humor and Random Slang
2TAL4YU,TO TALL FOR YOU,0,Vehicle Descriptions and Colors
KASH 14,KASH = KASHMIR (FAVORITE SONG) 14 = 2014 (YEAR OF VEHICLE),2,"Gang, Drugs, and Street Culture"
SUPRB69,"1969 SUPER BEE 69, SEXUAL REFERENCE",1,Edgy Humor and Random Slang
DIRTY V,DIRTY VAGINA,5,Sexual References
I$MYCAT,I LOVE MY CAT,0,Vehicle Descriptions and Colors
LMTHANG,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",2,"Gang, Drugs, and Street Culture"
YU LEWZ,YOU LOSE,0,Vehicle Descriptions and Colors
GETVJOB,LIKE BLOW JOB BUT VAGINA JOB,5,Sexual References
CONAN G,ITS SHORT FOR MY NICK NAME: CONAN GUO,6,Personal Names and Sentiments
COPS MTR,COPS MATTER,0,Vehicle Descriptions and Colors
NFLXCHL,NETFLIX CHILL,0,Vehicle Descriptions and Colors
WARPONI,"WAR, HOSTILE",0,Vehicle Descriptions and Colors
G RUSTY,GUSTAVOS TRUCK NAME RUSTY,1,Edgy Humor and Random Slang
FUNDIO,Spanish slang for ass or asshole,0,Vehicle Descriptions and Colors
DCBZ TX,DALLAS COWBOYS TEXAS,0,Vehicle Descriptions and Colors
OGRCON1,INITIALS OF OWNER AND HIS FIRST TRUCK,1,Edgy Humor and Random Slang
WAVYAF,WELL-GROOMED INDIVIDUAL AF CAN STAND FOR AS FUCK,0,Vehicle Descriptions and Colors
SMOKT,"SMOKED, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
DAD$PP,DAD LOVES PP,5,Sexual References
PCP SRT,PCP-ANGELDUST A DRUG,2,"Gang, Drugs, and Street Culture"
EL 8A,my last name,6,Personal Names and Sentiments
HOE TOX,PLASTIC SURGERY HOE,0,Vehicle Descriptions and Colors
UGLY  SS,ITS A 1963 CHEVY UGLY ASS OR SIMPLY SS TYPE,1,Edgy Humor and Random Slang
BIG A JP,BIG ASS JEEP/JAP,1,Edgy Humor and Random Slang
R8RSCUM,RAIDER SCUM OR RAIDERS CUM. EITHER ONE IS INAPPROPRIATE AND VULGAR,0,Vehicle Descriptions and Colors
YOGI CAT,I TEACH YOGA AND LOVE CATS,0,Vehicle Descriptions and Colors
SHRK FN,SJ SHARKS HOCKEY FAN,0,Vehicle Descriptions and Colors
OG49ERS,OLD SCHOOL 49ERS FAN,0,Vehicle Descriptions and Colors
BSTRDS,BASTARDS,5,Sexual References
OG $4L,MY FIANCE NAME IS OWEN GARNETT AND MY NICKNAME IS LOLA. OWEN GARNETT HAS LOVE FOR LOLA. OG ORIGINAL GANGSTER,6,Personal Names and Sentiments
TRK YEAA,TRUCK YEAH FUCK YEAH,1,Edgy Humor and Random Slang
DD WANDA,DOUBLE D WANDA. MIDDLE INITIAL IS D.,0,Vehicle Descriptions and Colors
F URESTI,EFF YOU. BUT IT IS CUSTOMER FIRST INITIAL AND LAST NAME,6,Personal Names and Sentiments
