,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
0,MTY WHTY,"IT’S A WHITE 2015 MINI COOPER S ""MIGHTY WHITEY""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
1,4RMCALI,IM FROM CA,Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
2,DAGOOZE,THE GOOSE- A NICKNAME FOR MOTO GUZZI M/C,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
3,BRZN BLU,BREEZING BLUE CA COASTAL PROTECTION,Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
4,WAPSTER,VEHICLE OWNERS INITIALS,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
5,HOV+AMO,AMO..AMMO?,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
6,BSTD G8,VEHICLE MODEL AND ENGINE TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
7,GPOPS73,GRANDPAS 73,Personal and Family names,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
8,STLR GNG,STEELER GANG,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
9,2J2O9Y6,PERSONAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
10,G$JCK 3,G AS IN GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
11,BLU TII,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
12,BLUTONC,THE NAME I USE FOR ONLINE GAMING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
13,TRAN FAM,TRAN MEAN LASTNAME OF MY FMILY,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
14,BLUPLNT,BLUE PLANET,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
15,CET8EAN,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
16,BLOWN 14,SHORT FOR SUPERCHARGED 2014 SILVERADO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
17,RED BAR,CHIEF WARRANT OFFICER IN THE MARINE CORPS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
18,MOFLO 8,MONICA FLORES AND MY FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
19,EZ CORE,TYPE OF MUSIC,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
20,B4PIM55,LOOKS LIKE BEFORE PMS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
21,EVH 5150,5150 CRAZY,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
22,PDQMINI,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
23,66 MONO,MONO VIRUS OF THE MOUTH,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
24,69LCMNO,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
25,9DG3NEL,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
26,CRZY J,CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
27,WUIDSAU,WILD BOAR,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
28,6CPORSH,SEXY PORSCHE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
29,707HP B5,707 AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
30,FRC 4#,FORCE A HAND,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
31,FXDL666,FXDL IS A HARLEY MODEL # 666 IS THE LISTED WEIGHT OF THE MOTORCYCLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
32,CKTESLA,"100,000 TESLA",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
33,GAD5150,CRAZY GAS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
34,ITSATEN,10 CYLINDER MOTOR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
35,LUCENUP,"LOOSE EN UP, STAY LOOSE, RELAX",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
36,MOZLOCA,FAMOUS SINGER AND LAST NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
37,68REDSS,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
38,4KS$1R,I HAVE 4 BOYS WITH NAME THAT STARTS WITH K AND 1 GIRL NAME STARTS WITH R,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
39,GRDZRO4,GROUND ZERO 4,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
40,MARJAN,MARJAN IS MY NAME! :)PLEASE CENTER THE LETTERS. THANKS!),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
