plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
MTY WHTY,"IT’S A WHITE 2015 MINI COOPER S ""MIGHTY WHITEY""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
4RMCALI,IM FROM CA,Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
DAGOOZE,THE GOOSE- A NICKNAME FOR MOTO GUZZI M/C,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
BRZN BLU,BREEZING BLUE CA COASTAL PROTECTION,Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
WAPSTER,VEHICLE OWNERS INITIALS,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
HOV+AMO,AMO..AMMO?,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BSTD G8,VEHICLE MODEL AND ENGINE TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GPOPS73,GRANDPAS 73,Personal and Family names,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
STLR GNG,STEELER GANG,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
2J2O9Y6,PERSONAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
G$JCK 3,G AS IN GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
BLU TII,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUTONC,THE NAME I USE FOR ONLINE GAMING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TRAN FAM,TRAN MEAN LASTNAME OF MY FMILY,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
BLUPLNT,BLUE PLANET,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
CET8EAN,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
BLOWN 14,SHORT FOR SUPERCHARGED 2014 SILVERADO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
RED BAR,CHIEF WARRANT OFFICER IN THE MARINE CORPS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MOFLO 8,MONICA FLORES AND MY FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
EZ CORE,TYPE OF MUSIC,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
B4PIM55,LOOKS LIKE BEFORE PMS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EVH 5150,5150 CRAZY,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
PDQMINI,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
66 MONO,MONO VIRUS OF THE MOUTH,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
69LCMNO,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
9DG3NEL,???,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CRZY J,CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WUIDSAU,WILD BOAR,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
6CPORSH,SEXY PORSCHE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
707HP B5,707 AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
FRC 4#,FORCE A HAND,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FXDL666,FXDL IS A HARLEY MODEL # 666 IS THE LISTED WEIGHT OF THE MOTORCYCLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CKTESLA,"100,000 TESLA",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
GAD5150,CRAZY GAS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
ITSATEN,10 CYLINDER MOTOR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LUCENUP,"LOOSE EN UP, STAY LOOSE, RELAX",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MOZLOCA,FAMOUS SINGER AND LAST NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
68REDSS,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
4KS$1R,I HAVE 4 BOYS WITH NAME THAT STARTS WITH K AND 1 GIRL NAME STARTS WITH R,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GRDZRO4,GROUND ZERO 4,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
MARJAN,MARJAN IS MY NAME! :)PLEASE CENTER THE LETTERS. THANKS!),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CFSR51O,CF MEANS CARBON FIBER SR IS THE MOTOR TYPE AND 510 IS THE MODEL OF CAR.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ICDDPPL,I SEE DEAD PEOPLE BECAUSE CAR IS A HEARSE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PIN MOVR,I USE THIS VEHICLE FOR MY PINBALL GAMES,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PSYC,PSYCHOLOGY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
D E A P,MY INTIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BBS GOT6,I have 6 kids,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CRUZN13,"13 IS GANG NUMBER, HAS A 2013 CHEVY TRUCK",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
DEDPUUL,MY FAVORITE SUPER HERO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GAY DAD,"DOESN’T SOUND NEGATIVE, OKAY? JUST SENDING FOR REVIEW PER INSTRUCTIONS",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GOBLIN,GOBLIN WAS THE NAME OF A BELOVED PET.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
KCODEFB,FB can mean Fuck Buddy or Fucking Bitch,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RD4LOVE,PERSONAL INITIALS FOR ROXANNE AND DANIEL PLUS OUR 4 KIDS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
REDRYNO,CHARACTER OF THE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
REDWIFE,"MY WIFE CALLS MY RED 1965 CHEVY TRUCK MY ""RED WIFE"".",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
R82BA,RIGHT TO BEAR ARMS AND ITS ALSO THE YEAR I WAS BORN,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
2BLUEII,2 BLUE EYES,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4  BAL  2,FOR LAST NAME TOO,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
6HADES6,MY FAVORITE NUMBER AND MY FAVORITE GREEK GOD ALSO THE NICKNAME FOR MY CAR,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
69 PTROL,"HE DOES HAVE A 1969 DATSON UT, OK? WASN’T SURE OF '69 PATROL' MEANING…",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
5FDP 4L,FIVE FINGER DEATH PUNCH FOR LIFE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
ITS BLUE,THE COLOR OF MY CAR IS BLUE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
RNAREST,ARREST? POLICE?,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1RED36,IT IS A RED 1936 PICK UP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
WETDOG8,IT IS MY ON LINE VIDEO GAME AVATOR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GRNDBLU,"GRAND BLU, FRENCH FOR BIG BLUE (SEA, OCEAN)",Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Pet and Animal Themes,Colors and Descriptive Traits
AFBLUE,AIR FORCE BLUE,Business and University Identities,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
REDHWK,RED HAWK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
REDPEPR,RED PEPPER,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUE731,HORSE NAME AND BIRTHDAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FUEL PG,FUEL PIG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
MEMOS 8O,MEMOS IN SPANISH MEANS FOOL CRAZY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
MMMK666,MY CARS MODEL CODE IS MK6. AN ABBREVIATION FOR MARK 6 VOLKSWAGEN GTI,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MT BLUE,INITIALS AND COLOR,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
RD DEVIL,RED DEVIL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
UGLY 392,MY CAR IS A RAT ROD AND IS SUPPOSE TO BE UGLY. THE ENGINE SIZE IS 392,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
6SEIS6,MY FAVORITE NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
MYGLK15,THE CAR I LOVE MERCEDES GLK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
NO PLN B,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
R3A3I1B,CAN NOT TRANSLATE NO MICRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
K8KSAWD,LOOKS LIKE SAWED..,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
NH4CLO4,CAN NOT TRANSLATE NO MICRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
HERZWRK,"SHORT FOR THE GERMAN ""HERZWERK"", A TERM LOOSELY TRANSLATED AS ""HEART WORK"", OR WORK OF THE SOUL",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IEGT3PR,missing,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SWTASME,SWEET AS ME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
