index,plate,meaning,classification,string_classification
0,CALIPMW,CALIFORNIA PUSSY MONEY WEED,8,"Sexual, Provocative"
1,G UNIT$,G gangster,7,"Sports, Teams, Regional"
2,GUNGOSE,"GUN GOOSE GUN, WEAPON REFERENCE",4,"Profanity, Drugs, Gang References"
3,TOBYCAT,CAT,1,"Humor, Personal, Playful"
4,OG ONE1,"ORIGINAL ONE OG, GANG REFERENCE",4,"Profanity, Drugs, Gang References"
5,ZO HATED,ZO SHORT FOR Z06 HATED MEANING NICE  CORVETTE OUT HERE hate,4,"Profanity, Drugs, Gang References"
6,DOP RIDE,DOPE RIDE DOPE-DRUGS,7,"Sports, Teams, Regional"
7,AMZ BLLZ,AMAZE BALLS,1,"Humor, Personal, Playful"
8,GUNNY T,GUN,1,"Humor, Personal, Playful"
9,BIGRNUT,EJACULATION,7,"Sports, Teams, Regional"
10,PIGPEN5,OFF ROADING PIGPEN MUD. #5 IS THE NUMBER  IN THE FAMILY,4,"Profanity, Drugs, Gang References"
11,HATE,HATE,1,"Humor, Personal, Playful"
12,B 2SWEET,BILLIE 2 SWEET,1,"Humor, Personal, Playful"
13,BDAZTKR,BADASS TRUCKER,8,"Sexual, Provocative"
14,5OHVNOM,VENOM LAW ENFORCEMENT REFERENCE Cant see ANI,4,"Profanity, Drugs, Gang References"
15,REDBULL,COLOR OF A BULL RED BULL,7,"Sports, Teams, Regional"
16,TNTMECH,T AND T MECHANICAL TNT,7,"Sports, Teams, Regional"
17,GBYEH8R,FAST CAR GOOD BYE HATER,5,"Defiant, Rebellious, Aggressive"
18,1 GUNNUT,ONE GUN NUT GUN NUT,0,"Weapons, Cars, Masculine Themes"
19,E GO 88,"E IS FOR EDWARD, MY FIRST NAME 88 = HATE NUMBER",4,"Profanity, Drugs, Gang References"
20,BLK SNKE,BLACK COBRA SINCE IM PUTTING IT ON A FORD MUSTANG COBRA,0,"Weapons, Cars, Masculine Themes"
21,L$ PINK,LOVE PINK,1,"Humor, Personal, Playful"
22,FTP,FUCK THE POLICE,5,"Defiant, Rebellious, Aggressive"
23,JGER BMB,JAGER BOMB,7,"Sports, Teams, Regional"
24,LKMYBLZ,LICK MY BALLS,8,"Sexual, Provocative"
25,OG TIME,OG TIME OG ORIGINAL GANGSTER,7,"Sports, Teams, Regional"
26,KSS MAAS,KISS MY ASS,8,"Sexual, Provocative"
27,QN PUMA,QUEEN PUMA,7,"Sports, Teams, Regional"
28,69BRO,"69, SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
29,FK CANZR,FUCK CANCER,5,"Defiant, Rebellious, Aggressive"
30,HRS3 SHT,HORSE SHIT,8,"Sexual, Provocative"
31,DKYND69,SEXUAL 69,1,"Humor, Personal, Playful"
32,SPHYNX5/,SPHYNX IS CAT BREED #5 FAV NUMBER,4,"Profanity, Drugs, Gang References"
33,415 BORN,BORN IN SAN FRANCISCO 415 SAN FRANCISCO AREA CODE,3,"Personal, Family, Sentimental"
34,69ELDO,1969 CADILLAC ELDORADO,7,"Sports, Teams, Regional"
35,K TRAXHO,TRACKS HOE,1,"Humor, Personal, Playful"
36,FCKFRND,FUCK FRIEND,5,"Defiant, Rebellious, Aggressive"
37,AUW13 88,13 N 88- GANG N HITLER RELATED,2,"Sexual, Offensive, Controversial"
38,CANEFAN,IM A UNIVERSITY OF MIAMI HURRICANE FAN. RAISED IN MIAMI,0,"Weapons, Cars, Masculine Themes"
