plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
LILNUTZ,A LITTLE CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LTILRED,WE CALL OUR CAR LITTLE RED.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
LUVMY M4,M4 IS AN ASSAULT RIFLE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
PPA RED,RED = GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
ROKIN88,PLATE IS FOR A 1957 OLDSMOBILE 88 ROCKING 88,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RS 231,"PULLED FOR ""RS"" WHICH CAN MEAN ""REAL SHIT""",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WSKI64,USS WISCONSIN BB64,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BCHCOMR,HOBBY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
BLU BLIT,BLUE BULLET,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
CALARMS,FIREARM CO CALIFORNIA FIREARMS,Business and University Identities,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers
GAYTAN4,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LADBLUE,DODGER FAN,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,
PINKEEE,PINKY MY HUSBANDS NICK NAME FOR ME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
ROVER13,2013 RANGER ROVER CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
INAM69,I WAS IN VIET NAM IN 1969,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
YO GSTER,MY YOGA RIDE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LEESHOG,ORIGINAL GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
BAD FSH3,BAD FISH IS A SONG TITLE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
FNDFLUF,"I LOVE TO SKI AND SNOWBOARD, AND WE JOKE THAT REAL (NOT MAN MADE SNOW) IS CALLED FLUFF.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LILRED2,OUR LITTLE RED WAGON,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PURITOS,CIGAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
STAR12G,MY DATE OF BIRTH AND FIESTA NAME,Area code and Numbers,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
SUPFOOS,WHATS UP FRIENDS OF OUTER SPACE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XL MAGNM,I OWN A DODGE MAGNUM SRT8 AND IT'S A WAGON SO IT'S A BIGGER VESSEL XL MEANS LARGE MAGNUM IT'S THEIR BIG PACKAGE WITH THE BIG ENGINE THE BIGGEST ONE THEY MAKE FOR THE MAGNUM,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
YANKS 2,FAVORITE BASEBALL TEAM,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CKSWEET,IN THE NEAR FUTURE I WOULD LIKE TO SELL CUPCAKES AND WOULD LIKE FOR MY VAN TO SHOW THIS ON ITS LICENSE PLATE. THE CK STANDS FOR CAKE AND THE SWEET IS A NICE TOUCH.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LARJRYD,LARGE RIDE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BEATRZZ,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BERYNIZ,BERENICE OR VERY NICE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLEUSTL,BLUE STEEL.,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUENRG,"MY CAR IS A HYBRID..... HYUNDAI CALLS IT ""BLUE DRIVE""",Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
BLUMBNZ,I HAVE A BLUE MERCEDES.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CATGLEZ,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CEJA5O,LAST NAME AND TYPE OF ENGINE IN THE VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DEZNRED,DEZ = DESIREE N = IN RED = COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
FRBLUCR,FRAU BLUECAR,Colors and Descriptive Traits,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
FUN14ME,FUN ONE FOR ME (IT WILL BE MY LAST SPORTS CAR BEFORE BECOMING A  GRANDMA),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GNOMER1,"I PLAY WORLD OF WARCRAFT, MY RACE IN GAME IS GNOME. GNOMER 1",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
GSWAGG,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GVBREW,GRASS VALLEY BREWING COMPANY  OWNER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HATRPRF,HATER PROOF,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HIMNTNZ,HIGH MAINTAINENCE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HYETIDE,ARMENIAN/HIGH/TIDE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KATMARO,CAMARO AND CAT LOVER,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LUIGIGD,IT IS A SUPER MARIO CHARACTER (LUIGI) AND THE CHASSIS CODE OF SUBARU  IMPREZA WRX STI (GD),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
NAYNAY1,NICK NAME OF FIRST NAME (RENEE),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
OGR2D2,ORIGINAL R2D2,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
RDSHAKR,RED SHAKER,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,
REDSTRP,A WONDERFUL JAMAICAN BEER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
USAGA,USA GREAT AGAIN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2O13SI,THE YR OF THE CAR.. AND NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
61DUBB,ITS A 1961 VW BUG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
68BEEPR,1968 ROADRUNNER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
95476CA,SONOMA ZIP CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
IHORSI,I LOVE HORSES,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,
MYACE,LOVE FOR MY FAMILY,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Pet and Animal Themes,Personal and Family names
QICAT,ENERGY CAT(JAGUAR),Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BLUEO2,SECOND BLUE TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
COTNTL,COTTON TAIL,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KITYCAR,KITTY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
WITCHE1,I LOVE WITCHS HALOWEEN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ROOOSTN,WHAT MOTORCYCLE TIRES DO ROOST UP DIRT....AKA.... ROOSTER TAIL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUWAYL,BLUE WHALE,Colors and Descriptive Traits,Pet and Animal Themes,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
LVDRVG,LOVE DRIVING,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AA HUEVO,AA EGGS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes
ARCE GT,LAST NAME AND CAR MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
FAT BOI 8,FAT BOY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
FISHOGG,FISH HOGG IN FISHING,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
