plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
CALIPMW,CALIFORNIA PUSSY MONEY WEED,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
G UNIT$,G gangster,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GUNGOSE,"GUN GOOSE GUN, WEAPON REFERENCE",Weapons,4,Weapons,3,4,4
TOBYCAT,CAT,Cats and Pets,7,Vehicle Related,0,7,3
OG ONE1,"ORIGINAL ONE OG, GANG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
ZO HATED,ZO SHORT FOR Z06 HATED MEANING NICE  CORVETTE OUT HERE hate,Gang and Drug References,0,Vehicle Related,0,0,3
DOP RIDE,DOPE RIDE DOPE-DRUGS,Gang and Drug References,0,Gang and Drug References,2,0,0
AMZ BLLZ,AMAZE BALLS,Sexual References,5,Sexual References,4,5,5
GUNNY T,GUN,Weapons,4,Weapons,3,4,4
BIGRNUT,EJACULATION,Sexual References,5,Explicit and Vulgar Language,1,5,1
PIGPEN5,OFF ROADING PIGPEN MUD. #5 IS THE NUMBER  IN THE FAMILY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HATE,HATE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
B 2SWEET,BILLIE 2 SWEET,Explicit and Vulgar Language,2,Sexual References,4,1,5
BDAZTKR,BADASS TRUCKER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
5OHVNOM,VENOM LAW ENFORCEMENT REFERENCE Cant see ANI,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
REDBULL,COLOR OF A BULL RED BULL,Vehicle Related,3,Weapons,3,3,4
TNTMECH,T AND T MECHANICAL TNT,Weapons,4,Weapons,3,4,4
GBYEH8R,FAST CAR GOOD BYE HATER,Vehicle Related,8,Vehicle Related,0,3,3
1 GUNNUT,ONE GUN NUT GUN NUT,Explicit and Vulgar Language,2,Weapons,3,1,4
E GO 88,"E IS FOR EDWARD, MY FIRST NAME 88 = HATE NUMBER",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
BLK SNKE,BLACK COBRA SINCE IM PUTTING IT ON A FORD MUSTANG COBRA,Vehicle Related,8,Vehicle Related,0,3,3
L$ PINK,LOVE PINK,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
